path,provenance,source_modified_at_sydney,package_modified_at_sydney,snapshot_at_sydney,size_bytes,sha256
.gitattributes,new portable helper,,2026-09-25T19:44:07+10:00,2026-09-25T19:44:20+10:00,113,6cb9508590a92fb98461e7e6e2cdbc1a760a4f9c2c53d246814f934b4dc1daa1
README.md,new portable helper,,2026-09-25T19:40:57+10:00,2026-09-25T19:44:20+10:00,3362,58ca7163661819fc976e8202a391ddd1ba2c498f9f015839f684d917fe2dd7e5
docs/audio_v0_asset_and_stimulus_register.md,Mac source snapshot,2026-09-18T23:08:09+10:00,2026-09-18T23:08:09+10:00,2026-09-25T19:44:20+10:00,8827,d5e9f62a1a99f295054134a69e45a140f9f5fefb5b3173a9bb5d129a3b7e3fdc
docs/audio_v0_complete_tutorial_and_tool_analysis_20260924.md,Mac source snapshot,2026-09-24T17:07:01+10:00,2026-09-24T17:07:01+10:00,2026-09-25T19:44:20+10:00,13465,b6d2cba6f0fecbc33c02479ac512a6856377e25c29964af62806862b2764451f
docs/audio_v0_execution_guide.md,Mac source snapshot,2026-09-24T10:55:49+10:00,2026-09-24T10:55:49+10:00,2026-09-25T19:44:20+10:00,16475,5d93d76505e4e29fbaf001cc472899be676f2e62fedf01bc3876b41cf2bb0aa9
docs/audio_v0_protocol_and_prototype_checklist.md,Mac source snapshot,2026-09-24T01:31:02+10:00,2026-09-24T01:31:02+10:00,2026-09-25T19:44:20+10:00,15268,afccd7668d402817290ab6b35f6256e394d0afbb6ffaf6321a60ee10512ca491
docs/audio_v0_unity_build_walkthrough.md,Mac source snapshot,2026-09-21T17:48:59+10:00,2026-09-21T17:48:59+10:00,2026-09-25T19:44:20+10:00,22359,d1e73f337cafd511e373d7a6cc4ac10c09ed8e73d581541c50db292852701303
docs/feasibility_pilot_record.md,Mac source snapshot,2026-09-24T01:29:29+10:00,2026-09-24T01:29:29+10:00,2026-09-25T19:44:20+10:00,6755,788fcc1a57ea8fa1e71cd73ddec3b60648a071169c19fcfb81aae73b4a8f7f22
docs/game_interaction_evidence_review.md,Mac source snapshot,2026-09-21T16:03:01+10:00,2026-09-21T16:03:01+10:00,2026-09-25T19:44:20+10:00,14097,2cb11f42347ed822fa2aa95b90fef23e29b017f6afb3c7207540cb64f2c41d7f
docs/hmd_audio_calibration_record.md,Mac source snapshot,2026-09-24T01:33:07+10:00,2026-09-24T01:33:07+10:00,2026-09-25T19:44:20+10:00,10436,6984ff0820d1b67eee82a40cce9bfdc74d909085bb82a3e03bf611fb48929170
docs/identification_validity_gate.md,Mac source snapshot,2026-09-24T01:29:29+10:00,2026-09-24T01:29:29+10:00,2026-09-25T19:44:20+10:00,11766,534ae8d96d087ad00046c0f29e9d3772c9c81bc7d76069b1a3073995a9a0b2bc
docs/measurement_implementation_alignment.md,Mac source snapshot,2026-09-24T01:29:29+10:00,2026-09-24T01:29:29+10:00,2026-09-25T19:44:20+10:00,19194,2b151da3a02fd045e6c463da2999f4a48922e2e1815ddf8c617287fe34002f7d
docs/participant_runbook_and_data_dictionary.md,Mac source snapshot,2026-09-24T11:07:23+10:00,2026-09-24T11:07:23+10:00,2026-09-25T19:44:20+10:00,27732,5031d67ddd56906121e81afb6e0e0981a3cd666abe2fdc8e844d134afe034c04
docs/protocol_freeze_record.md,Mac source snapshot,2026-09-24T01:29:29+10:00,2026-09-24T01:29:29+10:00,2026-09-25T19:44:20+10:00,16777,081b1591abae1ede73a8ee5e3641474bae4a885017f6914942c78a5e8ed5b5a4
